Symbol,Name
TLX,TALANX AG
8TRA,TRATON SE
KBX,KNORR BREMSE AG
NEM,NEMETSCHEK SE
HOT,HOCHTIEF AG
HLE,HELLA GMBH & CO. KGAA
RAA,RATIONAL AG
DWNI,DEUTSCHE WOHNEN SE
EVD,CTS EVENTIM AG & CO. KGAA
DHER,DELIVERY HERO SE
G1A,GEA GROUP AG
EVK,EVONIK INDUSTRIES AG
LHA,LUFTHANSA AG VNA O.N.
G24,SCOUT24 SE
PUM,PUMA SE
LEG,LEG IMMOBILIEN SE
FRA,FRAPORT AG
FPE3,FUCHS SE
HAG,HENSOLDT AG
RRTL,RTL GROUP
KGX,KION GROUP AG
AFX,CARL ZEISS MEDITEC AG
TUI1,TUI AG NA O.N.
KRN,KRONES AG
BC8,BECHTLE AG
1SXP,SCHOTT PHARMA AG & CO. KGAA
AG1,AUTO1 GRP
FNTN,FREENET AG
NDA,AURUBIS AG
SAX,STROEER SE&CO KGAA
WCH,WACKER CHEMIE AG
BOSS,HUGO BOSS AG
NDX1,NORDEX SE
UTDI,UNITED INTERNET AG
AT1,AROUNDTOWN SA
JUN3,JUNGHEINRICH
TKA,THYSSENKRUPP AG O.N.
RDC,REDCARE PHARMACY N.V.
GXI,GERRESHEIMER AG
TEG,TAG IMMOBILIEN AG
HFG,HELLOFRESH SE
SDF,K+S AG NA O.N.
LXS,LANXESS AG
GBF,BILFINGER SE
TMV,TEAMVIEWER SE
AIXA,AIXTRON SE
EVT,EVOTEC SE INH O.N.
WAF,SILTRONIC AG
JEN,JENOPTIK AG
HYQ,HYPOPORT SE
